E5;0.5;0.15;0
E5;0.5;0.15;0.15
E5;0.5;0.15;0.45
C5;0.5;0.15;0.75
E5;0.5;0.15;0.9
G5;1;0.3;1.2
G4;1;0.3;1.8
C5;0.5;0.15;2.4
G4;0.5;0.15;2.85
E4;0.5;0.15;3.3
A4;0.5;0.15;3.75
B4;0.5;0.15;4.05
Bb4;0.5;0.15;4.35
A4;0.5;0.15;4.5
G4;0.666666667;0.2;4.8
E5;0.666666667;0.2;5
G5;0.666666667;0.2;5.2
A5;0.5;0.15;5.4
F5;0.5;0.15;5.7
G5;0.5;0.15;5.85
E5;0.5;0.15;6.15
C5;0.5;0.15;6.45
D5;0.5;0.15;6.6
B4;0.5;0.15;6.75
C5;0.5;0.15;7.2
G4;0.5;0.15;7.65
E4;0.5;0.15;8.1
A4;0.5;0.15;8.55
B4;0.5;0.15;8.85
Bb4;0.5;0.15;9.15
A4;0.5;0.15;9.3
G4;0.666666667;0.2;9.6
E5;0.666666667;0.2;9.8
G5;0.666666667;0.2;10
A5;0.5;0.15;10.2
F5;0.5;0.15;10.5
G5;0.5;0.15;10.65
E5;0.5;0.15;10.95
C5;0.5;0.15;11.25
D5;0.5;0.15;11.4
B4;0.5;0.15;11.55
G5;0.5;0.15;12.3
Gb5;0.5;0.15;12.45
F5;0.5;0.15;12.6
Eb5;0.5;0.15;12.75
E5;0.5;0.15;13.05
G4;0.5;0.15;13.35
A4;0.5;0.15;13.5
C5;0.5;0.15;13.65
A4;0.5;0.15;13.95
C5;0.5;0.15;14.1
D5;0.5;0.15;14.25
G5;0.5;0.15;14.7
Gb5;0.5;0.15;14.85
F5;0.5;0.15;15
Eb5;0.5;0.15;15.15
E5;0.5;0.15;15.45
C6;0.5;0.15;15.75
C6;0.5;0.15;16.05
C6;0.5;0.15;16.2
G5;0.5;0.15;17.1
Gb5;0.5;0.15;17.25
F5;0.5;0.15;17.4
Eb5;0.5;0.15;17.55
E5;0.5;0.15;17.85
G4;0.5;0.15;18.15
A4;0.5;0.15;18.3
C5;0.5;0.15;18.45
A4;0.5;0.15;18.75
C5;0.5;0.15;18.9
D5;0.5;0.15;19.05
Eb5;0.5;0.15;19.5
D5;0.5;0.15;19.95
C5;1;0.3;20.4
G5;0.5;0.15;21.9
Gb5;0.5;0.15;22.05
F5;0.5;0.15;22.2
Eb5;0.5;0.15;22.35
E5;0.5;0.15;22.65
G4;0.5;0.15;22.95
A4;0.5;0.15;23.1
C5;0.5;0.15;23.25
A4;0.5;0.15;23.55
C5;0.5;0.15;23.7
D5;0.5;0.15;23.85
G5;0.5;0.15;24.3
Gb5;0.5;0.15;24.45
F5;0.5;0.15;24.6
Eb5;0.5;0.15;24.75
E5;0.5;0.15;25.05
C6;0.5;0.15;25.35
C6;0.5;0.15;25.65
C6;0.5;0.15;25.8
G5;0.5;0.15;26.7
Gb5;0.5;0.15;26.85
F5;0.5;0.15;27
Eb5;0.5;0.15;27.15
E5;0.5;0.15;27.45
G4;0.5;0.15;27.75
A4;0.5;0.15;27.9
C5;0.5;0.15;28.05
A4;0.5;0.15;28.35
C5;0.5;0.15;28.5
D5;0.5;0.15;28.65
Eb5;0.5;0.15;29.1
D5;0.5;0.15;29.55
C5;1;0.3;30
